Category,Sub Category,Sub Heading,Service,Service Title,Service Sub Title,gender,Short Description,Products,Approx Time,Service Cost,Product Cost,Basic Total Cost,description
Salon for Women,Threading and Face Wax,Threading and Face Wax,Eyebrows - Threading : 1 Session,Eyebrows - Threading,,FEMALE,For maintaining/shaping brows look,ODR brightening kit,5,30,0,30,"[{""title"":""THINGS TO KNOW"",""points"":[""No cuts, wounds, boils, injury or infection on the area to be thread."",""Skin of the area to be thread should not be too loose, else chances of cuts are too high."",""After threading, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person.""]},{""title"":""PROCEDURE"",""points"":[""Preparation: Talcum powder application on the area to be threaded."",""Threading: Careful  precise threading using Organica thread."",""Massage: Cream/toner massage on newly threaded area to soothe the skin.""]},{""title"":""AFTERCARE TIPS"",""points"":[""Wash your face with cold water."",""Avoid using harsh products like scrub, peel, etc. for 1-2 days.""]}]"
Salon for Women,Threading and Face Wax,Threading and Face Wax,Upper Lips - Threading : 1 Session,Upper Lips - Threading,,FEMALE,Removes unwanted hair from Upper Lips,,5,30,0,30,"[{""title"":""THINGS TO KNOW"",""points"":[""No cuts, wounds, boils, injury or infection on the area to be thread."",""Skin of the area to be thread should not be too loose, else chances of cuts are too high."",""After threading, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person.""]},{""title"":""PROCEDURE"",""points"":[""Preparation: Talcum powder application on the area to be threaded."",""Threading: Careful  precise threading using Organica thread."",""Massage: Cream/toner massage on newly threaded area to soothe the skin.""]},{""title"":""AFTERCARE TIPS"",""points"":[""Wash your face with cold water."",""Avoid using harsh products like scrub, peel etc for 1-2 days.""]}]"
Salon for Women,Threading and Face Wax,Threading and Face Wax,Forehead,Forehead,,FEMALE,Removes unwanted hair from Forehead,Sokora Korean Wax Ritual,5,30,0,30,"[{""title"":""THINGS TO KNOW"",""points"":[""No cuts, wounds, boils, injury or infection on the area to be thread."",""Skin of the area to be thread should not be too loose, else chances of cuts are too high."",""After threading, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person.""]},{""title"":""PROCEDURE"",""points"":[""Preparation: Talcum powder application on the area to be threaded."",""Threading: Careful  precise threading using Organica thread."",""Massage: Cream/toner massage on newly threaded area to soothe the skin.""]},{""title"":""AFTERCARE TIPS"",""points"":[""Wash your face with cold water."",""Avoid using harsh products like scrub, peel, etc. for 1-2 days.""]}]"
Salon for Women,Threading and Face Wax,Threading and Face Wax,Chin,Chin,,FEMALE,Removes unwanted hair from Chin,,5,30,0,30,"[{""title"":""THINGS TO KNOW"",""points"":[""No cuts, wounds, boils, injury or infection on the area to be thread."",""Skin of the area to be thread should not be too loose, else chances of cuts are too high."",""After threading, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person.""]},{""title"":""PROCEDURE"",""points"":[""Preparation: Talcum powder application on the area to be threaded."",""Threading: Careful  precise threading using Organica thread."",""Massage: Cream/toner massage on newly threaded area to soothe the skin.""]},{""title"":""AFTERCARE TIPS"",""points"":[""Wash your face with cold water."",""Avoid using harsh products like scrub, peel, etc. for 1-2 days.""]}]"
Salon for Women,Threading and Face Wax,Threading and Face Wax,Side Lock,Side Lock,,FEMALE,Removes Unwanted hair from Side Locks,,10,60,0,60,"[{""title"":""THINGS TO KNOW"",""points"":[""No cuts, wounds, boils, injury or infection on the area to be thread."",""Skin of the area to be thread should not be too loose, else chances of cuts are too high."",""After threading, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person.""]},{""title"":""PROCEDURE"",""points"":[""Preparation: Talcum powder application on the area to be threaded."",""Threading: Careful  precise threading using Organica thread."",""Massage: Cream/toner massage on newly threaded area to soothe the skin.""]},{""title"":""AFTERCARE TIPS"",""points"":[""Wash your face with cold water."",""Avoid using harsh products like scrub, peel, etc. for 1-2 days.""]}]"
Salon for Women,Waxing,Rica Wax (Tin),Stomach Waxing - Rica Wax,Stomach Waxing - Rica Wax,,FEMALE,Removes unwanted hair from Stomach,"Rica Wax,Waxing kit",25,150,200,350,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""Areas with wounds  cuts won\u0027t be waxed."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."","" If you wish to use your own product, kindly uncheck product cost."",""Professionals will provide a waxing kit (10 Wax strips, 5 Wooden spatulas, Pre-wax gel  Post wax oil) and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers."",""Rica wax box will not be handed over."",""If using your own product, kindly provide pre wax gel  post wax oil else extra Rs. 100/- will be charged.""]},{""title"":""PROCEDURE"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by pre-wax gel application on body parts to be waxed."",""Waxing: Wax application  removal."",""Post-Wax Care: Application of post wax oil  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":["" Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (Deodorant/scrubs/bleach/detan packs) on waxed skin."",""Avoid direct sun exposure/ hot/warm showers/ chlorinated water for a few hours."",""Wear loose cotton clothes after waxing.""]}]"
Salon for Women,Waxing,Rica Wax (Tin),Half Legs Waxing - Rica Wax,Half Legs Waxing - Rica Wax,,FEMALE,Unwanted hair on Half Legs (From toes to the knee),"Rica Wax,Waxing kit",12,72,277,349,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""Areas with wounds  cuts won\u0027t be waxed."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."","" If you wish to use your own product, kindly uncheck product cost."",""Professionals will provide a waxing kit (10 Wax strips, 5 Wooden spatulas, Pre-wax gel  Post wax oil) and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers."",""Rica wax box will not be handed over."",""If using your own product, kindly provide pre wax gel  post wax oil else extra Rs. 100/- will be charged.""]},{""title"":""PROCEDURE"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by pre-wax gel application on body parts to be waxed."",""Waxing: Wax application  removal."",""Post-Wax Care: Application of post wax oil  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":["" Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (Deodorant/scrubs/bleach/detan packs) on waxed skin."",""Avoid direct sun exposure/ hot/warm showers/ chlorinated water for a few hours."",""Wear loose cotton clothes after waxing.""]}]"
Salon for Women,Waxing,Rica Wax (Tin),Full Arms Waxing - Rica Wax,Full Arms Waxing - Rica Wax,,FEMALE,Without Underarms Removes unwanted hair from Full Hands,"Rica Wax,Waxing kit",25,150,275,425,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""Areas with wounds  cuts won\u0027t be waxed."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."","" If you wish to use your own product, kindly uncheck product cost."",""Professionals will provide a waxing kit (10 Wax strips, 5 Wooden spatulas, Pre-wax gel  Post wax oil) and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers."",""Rica wax box will not be handed over."",""If using your own product, kindly provide pre wax gel  post wax oil else extra Rs. 100/- will be charged.""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by pre-wax gel application on body parts to be waxed."",""Waxing: Wax application  removal."",""Post-Wax Care: Application of post wax oil  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":["" Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (Deodorant/scrubs/bleach/detan packs) on waxed skin."",""Avoid direct sun exposure/ hot/warm showers/ chlorinated water for a few hours."",""Wear loose cotton clothes after waxing.""]}]"
Salon for Women,Waxing,Rica Wax (Tin),Half Back Waxing - Rica Wax,Half Back Waxing - Rica Wax,,FEMALE,Removes unwanted hair from Half Back,"Rica Wax,Waxing kit",15,90,206,296,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""Areas with wounds  cuts won\u0027t be waxed."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."","" If you wish to use your own product, kindly uncheck product cost."","" Professionals will provide a waxing kit (10 Wax strips, 5 Wooden spatulas, Pre-wax gel  Post wax oil) and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers."",""Rica wax box will not be handed over."",""If using your own product, kindly provide pre wax gel  post wax oil else extra Rs. 100/- will be charged.""]},{""title"":""PROCEDURE"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by pre-wax gel application on body parts to be waxed."",""Waxing: Wax application  removal."",""Post-Wax Care: Application of post wax oil  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":["" Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (Deodorant/scrubs/bleach/detan packs) on waxed skin."",""Avoid direct sun exposure/ hot/warm showers/ chlorinated water for a few hours."",""Wear loose cotton clothes after waxing.""]}]"
Salon for Women,Waxing,Rica Wax (Tin),Full Back Waxing - Rica Wax,Full Back Waxing - Rica Wax,,FEMALE,Removes unwanted hair from Full Back,"Waxing kit,Rica Wax",30,180,275,455,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""Areas with wounds  cuts won\u0027t be waxed."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."","" If you wish to use your own product, kindly uncheck product cost."","" Professionals will provide a waxing kit (10 Wax strips, 5 Wooden spatulas, Pre-wax gel  Post wax oil) and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers."",""Rica wax box will not be handed over."",""If using your own product, kindly provide pre wax gel  post wax oil else extra Rs. 100/- will be charged.""]},{""title"":""PROCEDURE"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by pre-wax gel application on body parts to be waxed."",""Waxing: Wax application  removal."",""Post-Wax Care: Application of post wax oil  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":["" Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (Deodorant/scrubs/bleach/detan packs) on waxed skin."",""Avoid direct sun exposure/ hot/warm showers/ chlorinated water for a few hours."",""Wear loose cotton clothes after waxing.""]}]"
